detention_facility|detention_facility_code|state|type
NW ICE PROCESSING CTR|CSCNWWA|WA|ICE detention facility
JOSEPHINE CO. JAIL|JOSEPOR|OR|County jail
SEATTLE FIELD OFFICE HOLD ROOM|SEAHOLD|WA|ICE hold room
PORTLAND DISTRICT OFFICE|POOHOLD|OR|ICE hold room
NORTHERN OREGON CORR.FAC.|NORCOOR|OR|State prison
NORTHERN OREGON JUV.DET.|NOJUVOR|OR|Juvenile
YAKIMA COUNTY|YIKIMWA|WA|County jail
COLUMBIA COUNTY JAIL|COLUMOR|OR|County jail
YAKIMA SUB-OFFICE|YAKHOLD|WA|ICE hold room
EUGENE HOLDROOM|EUGHOLD|OR|ICE hold room
UMATILLA CO JAIL|UMATCOR|OR|County jail
ANCHORAGE JAIL|ANCHOAK|AK|County jail
JACKSON CO JAIL|JACKSOR|OR|County jail
MEDFORD SUB-OFFICE|MEDHOLD|OR|ICE hold room
COOK INLET PRETRIAL, ANCH|AKCOOKI|AK|State prison
ADAMS COUNTY|ADAMSWA|WA|County jail
KLAMATH CO JAIL|KLAMCOR|OR|County jail
HIGHLAND MTN COR CTR|AKHIGHL|AK|State prison
JACKSON COUNTY JUVENILE|JAJUVOR|OR|Juvenile
FAIRBANKS CORR CTR|AKFAIRB|AK|State prison
KODIAK CITY JAIL|KODIAAK|AK|City jail
RED ROOF INN|RRFINWA|WA|Hotel
COOS CO. JAIL|COOSCOR|OR|County jail
COWLITZ CO. JUV. DET.|COWJVWA|WA|Juvenile
STEVENS COUNTY JAIL|STEVEWA|WA|County jail
SITKA CITY JAIL, SITKA AK|SITKAAK|AK|City jail
LEMON CREEK, JUNEAU,AK|AKLEMON|AK|State prison
DOUGLAS CO. JAIL|DOUGLOR|OR|County jail
KITTITAS COUNTY JAIL|KITTIWA|WA|County jail
SEATAC FED.DET.CENTER|BOPSET|WA|Federal prison
LINN CO JAIL|LINNCOR|OR|County jail
CHELAN CO. REGIONAL JAIL|CHELAWA|WA|County jail
PALMER CORRECTIONAL CENTE|AKPALMC|AK|State prison
KETCHIKAN REGIONAL CC|AKKETCH|AK|State prison
WILDWOOD PRE-TRIAL FAC.|AKWILPT|AK|State prison
SPRINGFIELD CITY JAIL|SPRNGOR|OR|City jail
MARION CO JAIL|MARICOR|OR|County jail
WILDWOOD STATE CORR. CTR.|AKWILCC|AK|State prison
OKANOGAN CO. JAIL|OKANOWA|WA|County jail
SHERIDAN FED.CORR.INST.|BOPSHE|OR|Federal prison
ECONOLODGE MOTEL|ECOLOWA|WA|Hotel
SUNNYSIDE JAIL|SUNNYWA|WA|City jail
LANE CO JAIL|LANECOR|OR|County jail
ANCHORAGE SUB-OFFICE HOLD ROOM|ANCHOLD|AK|ICE hold room
GOOSE CREEK CORRECTIONAL CENTER|AKGSCCC|AK|State prison
FERNDALE HOLD ROOM|FDLHOLD|WA|ICE hold room
